starttime,stoptime,start station name,end station name,start station latitude,start station longitude,end station latitude,end station longitude,usertype,day of week,start date,stop date,tripduration
2022-01-31 07:25:00,2022-01-31 07:30:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Tuesday,04/27/2021,04/27/2021,0 days 00:05:00
2022-01-31 09:14:00,2022-01-31 09:19:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Wednesday,04/28/2021,04/28/2021,0 days 00:05:00
2022-01-31 08:15:00,2022-01-31 08:21:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Monday,04/26/2021,04/26/2021,0 days 00:06:00
2022-01-31 08:14:00,2022-01-31 08:20:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Saturday,04/03/2021,04/03/2021,0 days 00:06:00
2022-01-31 16:08:00,2022-01-31 16:17:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.730897,-74.063913,member,Monday,04/26/2021,04/26/2021,0 days 00:09:00
2022-01-31 09:16:00,2022-01-31 09:22:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Sunday,04/18/2021,04/18/2021,0 days 00:06:00
2022-01-31 17:28:00,2022-01-31 17:35:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Sunday,04/11/2021,04/11/2021,0 days 00:07:00
2022-01-31 14:24:00,2022-01-31 14:28:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,casual,Monday,04/19/2021,04/19/2021,0 days 00:04:00
2022-01-31 14:00:00,2022-01-31 14:05:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Friday,04/02/2021,04/02/2021,0 days 00:05:00
2022-01-31 21:32:00,2022-01-31 21:37:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Monday,04/05/2021,04/05/2021,0 days 00:05:00
2022-01-31 06:46:00,2022-01-31 06:51:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Thursday,04/22/2021,04/22/2021,0 days 00:05:00
2022-01-31 06:29:00,2022-01-31 06:34:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Friday,04/23/2021,04/23/2021,0 days 00:05:00
2022-01-31 06:30:00,2022-01-31 06:35:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Wednesday,04/14/2021,04/14/2021,0 days 00:05:00
2022-01-31 06:37:00,2022-01-31 06:42:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Thursday,04/29/2021,04/29/2021,0 days 00:05:00
2022-01-31 08:43:00,2022-01-31 08:49:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Thursday,04/29/2021,04/29/2021,0 days 00:06:00
2022-01-31 06:44:00,2022-01-31 06:49:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Wednesday,04/28/2021,04/28/2021,0 days 00:05:00
2022-01-31 06:29:00,2022-01-31 06:34:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Wednesday,04/21/2021,04/21/2021,0 days 00:05:00
2022-01-31 05:40:00,2022-01-31 05:43:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Thursday,04/29/2021,04/29/2021,0 days 00:03:00
2022-01-31 10:00:00,2022-01-31 10:07:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Friday,04/23/2021,04/23/2021,0 days 00:07:00
2022-01-31 05:10:00,2022-01-31 05:15:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Friday,04/02/2021,04/02/2021,0 days 00:05:00
2022-01-31 21:07:00,2022-01-31 21:13:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Wednesday,04/21/2021,04/21/2021,0 days 00:06:00
2022-01-31 08:04:00,2022-01-31 08:11:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Wednesday,04/07/2021,04/07/2021,0 days 00:07:00
2022-01-31 16:24:00,2022-01-31 16:29:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,casual,Tuesday,04/27/2021,04/27/2021,0 days 00:05:00
2022-01-31 12:22:00,2022-01-31 12:33:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Friday,04/09/2021,04/09/2021,0 days 00:11:00
2022-01-31 11:03:00,2022-01-31 11:08:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,casual,Monday,04/26/2021,04/26/2021,0 days 00:05:00
2022-01-31 05:31:00,2022-01-31 05:35:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Wednesday,04/28/2021,04/28/2021,0 days 00:04:00
2022-01-31 05:33:00,2022-01-31 05:37:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Friday,04/23/2021,04/23/2021,0 days 00:04:00
2022-01-31 05:35:00,2022-01-31 05:40:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Friday,04/09/2021,04/09/2021,0 days 00:05:00
2022-01-31 15:18:00,2022-01-31 15:22:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Sunday,04/18/2021,04/18/2021,0 days 00:04:00
2022-01-31 05:09:00,2022-01-31 05:13:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Wednesday,04/14/2021,04/14/2021,0 days 00:04:00
2022-01-31 05:28:00,2022-01-31 05:32:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Wednesday,04/21/2021,04/21/2021,0 days 00:04:00
2022-01-31 05:40:00,2022-01-31 05:44:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Wednesday,04/07/2021,04/07/2021,0 days 00:04:00
2022-01-31 05:50:00,2022-01-31 05:54:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Saturday,04/10/2021,04/10/2021,0 days 00:04:00
2022-01-31 05:39:00,2022-01-31 05:43:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Friday,04/02/2021,04/02/2021,0 days 00:04:00
2022-01-31 05:32:00,2022-01-31 05:37:00,Fairmount Ave,Sip Ave,40.725726,-74.071959,40.73089709786179,-74.06391263008118,member,Tuesday,04/27/2021,04/27/2021,0 days 00:05:00
